FICE,College,State,Public_Private,Avg_Math_SAT,Avg_Verbal_SAT,Avg_Combined_SAT,Avg_ACT,First_Quartile_Math_SAT,Third_Quartile_Math_SAT,First_Quartile_Verbal_SAT,Third_Quartile_Verbal_SAT,First_Quartile_ACT,Third_Quartile_ACT,Applications_Received,Applicants_Accepted,New_Students_Enrolled,Pct_New_Students_Top_10,Pct_New_Students_Top_25,Fulltime_Undergraduates,Parttime_Undergraduates,In_State_Tuition,Out_Of_State_Tuition,Room_And_Board,Room_Costs,Board_Costs,Additional_Fees,Estimated_Book_Costs,Estimated_Personal_Spending,Pct_Faculty_PhD,Pct_Faculty_Terminal_Degree,Student_Faculty_Ratio,Pct_Alumni_Donate,Instructional_Expenditure_Per_Student,Graduation_Rate
1033,Oakwood College,AL,2,382.0,378.0,760.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,949.0,605.0,385.0,-1.0,-1.0,1316.0,135.0,6639.0,6639.0,3999.0,-1.0,-1.0,368.0,600.0,2500.0,52.0,52.0,14.5,12.0,7986.0,-1.0
1036,Samford University,AL,2,-1.0,-1.0,-1.0,-1.0,485.0,585.0,445.0,545.0,22.0,28.0,1680.0,1395.0,691.0,34.0,76.0,2959.0,402.0,8236.0,8236.0,3700.0,3700.0,-1.0,-1.0,569.0,1650.0,74.0,75.0,14.7,17.0,9533.0,61.0
1041,Spring Hill College,AL,2,525.0,480.0,990.0,24.0,480.0,550.0,430.0,520.0,22.0,26.0,773.0,694.0,230.0,-1.0,-1.0,942.0,224.0,11478.0,11478.0,4788.0,2450.0,2338.0,645.0,500.0,900.0,80.0,89.0,14.4,23.0,8594.0,70.0
1044,Stillman College,AL,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,629.0,614.0,248.0,-1.0,-1.0,866.0,22.0,4460.0,4460.0,2754.0,1683.0,1071.0,100.0,600.0,1000.0,47.0,47.0,14.3,19.0,5031.0,47.0
1046,Talladega College,AL,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4414.0,1500.0,335.0,30.0,60.0,908.0,119.0,5666.0,5666.0,2964.0,1424.0,1540.0,418.0,1000.0,1400.0,56.0,58.0,15.5,7.0,5970.0,46.0
1047,Troy State University at Troy,AL,1,510.0,470.0,980.0,20.0,350.0,480.0,380.0,550.0,18.0,24.0,1471.0,1281.0,824.0,18.0,67.0,4343.0,990.0,1697.0,2883.0,2570.0,1450.0,1120.0,75.0,300.0,-1.0,50.0,50.0,23.0,19.0,4295.0,48.0
1050,Tuskegee University,AL,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2267.0,1827.0,611.0,20.0,59.0,2825.0,144.0,6735.0,6735.0,3395.0,3395.0,-1.0,-1.0,600.0,1425.0,70.0,74.0,12.2,7.0,10872.0,65.0
1051,University of Alabama at Tuscaloosa,AL,1,-1.0,-1.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,20.0,25.0,7593.0,5972.0,2682.0,-1.0,57.0,13780.0,1599.0,2172.0,5424.0,3530.0,1600.0,1930.0,-1.0,580.0,1654.0,80.0,91.0,17.3,29.0,6426.0,50.0
1052,University of Alabama at Birmingham,AL,1,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,18.0,24.0,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,2220.0,4440.0,5175.0,1935.0,3240.0,291.0,750.0,2200.0,96.0,96.0,6.7,16.0,16352.0,33.0
1055,University of Alabama at Huntsville,AL,1,542.0,468.0,1010.0,24.0,470.0,610.0,390.0,530.0,21.0,26.0,1376.0,957.0,445.0,-1.0,57.0,2727.0,3394.0,2480.0,4960.0,3500.0,2500.0,1000.0,-1.0,600.0,2100.0,83.0,88.0,12.7,12.0,8863.0,38.0
1057,University of South Alabama,AL,1,-1.0,-1.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,19.0,24.0,2328.0,2110.0,1047.0,-1.0,-1.0,7516.0,2943.0,2208.0,3108.0,2850.0,1530.0,1320.0,183.0,480.0,1470.0,80.0,80.0,13.3,19.0,8667.0,43.0
8310,Auburn University at Montgomery,AL,1,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,985.0,868.0,645.0,-1.0,-1.0,3477.0,1929.0,1905.0,5715.0,4430.0,1650.0,2780.0,-1.0,600.0,2500.0,74.0,76.0,18.1,19.0,4792.0,42.0
1085,University of Arkansas at Monticello,AR,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,826.0,794.0,662.0,-1.0,-1.0,4539.0,357.0,1536.0,3552.0,2310.0,840.0,1470.0,84.0,500.0,2800.0,54.0,54.0,42.6,19.0,2033.0,-1.0
1086,University of Arkansas at Pine Bluff,AR,1,368.0,326.0,694.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1450.0,1360.0,744.0,-1.0,-1.0,2993.0,1020.0,1392.0,3216.0,2328.0,2328.0,-1.0,143.0,450.0,-1.0,47.0,48.0,16.2,19.0,4618.0,-1.0
1088,Arkansas College (Lyon College),AR,2,-1.0,-1.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,22.0,27.0,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,8644.0,3922.0,2382.0,1540.0,120.0,500.0,800.0,79.0,88.0,12.6,24.0,14579.0,54.0
1089,Arkansas Tech University,AR,1,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,18.0,24.0,1734.0,1729.0,951.0,12.0,52.0,3602.0,939.0,1730.0,3460.0,2650.0,-1.0,-1.0,60.0,450.0,1000.0,57.0,60.0,19.6,5.0,4739.0,48.0
1090,Arkansas State University,AR,1,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,18.0,24.0,2688.0,2633.0,1488.0,-1.0,-1.0,7212.0,1707.0,1800.0,3720.0,2580.0,-1.0,-1.0,130.0,500.0,-1.0,71.0,73.0,20.0,9.0,5128.0,39.0
1092,University of Central Arkansas,AR,1,-1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,18.0,25.0,3131.0,2703.0,1792.0,-1.0,47.0,7402.0,1119.0,1700.0,3274.0,2600.0,1440.0,1160.0,126.0,600.0,1761.0,71.0,72.0,20.5,10.0,4252.0,36.0
1094,University of the Ozarks,AR,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,21.0,218.0,215.0,126.0,15.0,55.0,570.0,59.0,4800.0,4800.0,2850.0,1650.0,1200.0,120.0,400.0,2000.0,49.0,51.0,12.8,19.0,8177.0,-1.0
1098,Henderson State University,AR,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,22.0,1490.0,1490.0,771.0,21.0,47.0,2942.0,997.0,1440.0,2880.0,2400.0,2400.0,-1.0,80.0,500.0,-1.0,58.0,58.0,19.0,12.0,4540.0,68.0
1099,Hendrix College,AR,2,564.0,525.0,1089.0,26.0,490.0,620.0,460.0,580.0,23.0,28.0,823.0,721.0,274.0,52.0,87.0,954.0,6.0,8800.0,8800.0,3195.0,1935.0,1260.0,325.0,500.0,1200.0,82.0,99.0,13.1,26.0,8588.0,63.0
1100,John Brown University,AR,2,509.0,484.0,993.0,23.0,450.0,600.0,440.0,600.0,20.0,27.0,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,6398.0,3672.0,1450.0,2222.0,148.0,400.0,1350.0,68.0,68.0,13.3,19.0,8118.0,75.0
1101,University of Arkansas at Little Rock,AR,1,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,17.0,22.0,1766.0,1322.0,1194.0,-1.0,-1.0,5753.0,4058.0,2136.0,5352.0,2435.0,2435.0,-1.0,166.0,800.0,800.0,61.0,77.0,14.7,4.0,4724.0,19.0
1102,Ouachita Baptist University,AR,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,26.0,910.0,773.0,450.0,31.0,73.0,1310.0,61.0,6530.0,6530.0,2800.0,2800.0,-1.0,100.0,500.0,1500.0,63.0,67.0,13.3,10.0,6413.0,65.0
1103,Philander Smith College,AR,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,350.0,350.0,222.0,12.0,23.0,701.0,239.0,2370.0,2370.0,1260.0,630.0,630.0,-1.0,-1.0,-1.0,41.0,41.0,18.1,19.0,7729.0,-1.0
1106,Williams Baptist College,AR,2,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,17.0,22.0,220.0,210.0,131.0,12.0,34.0,509.0,97.0,3952.0,3952.0,2292.0,-1.0,-1.0,150.0,400.0,600.0,62.0,62.0,18.0,19.0,4061.0,-1.0
1107,Southern Arkansas University,AR,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,792.0,792.0,499.0,26.0,45.0,2229.0,270.0,1500.0,2340.0,2240.0,-1.0,-1.0,-1.0,400.0,-1.0,40.0,74.0,17.0,19.0,4653.0,33.0
1108,University of Arkansas at Fayetteville,AR,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,26.0,3235.0,3108.0,2133.0,25.0,65.0,9978.0,1530.0,1932.0,5028.0,3300.0,3300.0,-1.0,122.0,500.0,2000.0,73.0,89.0,14.8,10.0,6820.0,39.0
10311,Harding University,AR,2,530.0,490.0,1020.0,24.0,-1.0,-1.0,-1.0,-1.0,20.0,28.0,1721.0,1068.0,806.0,35.0,75.0,3128.0,213.0,5504.0,5504.0,3528.0,1650.0,1878.0,1016.0,700.0,910.0,71.0,77.0,17.7,37.0,6466.0,73.0
1074,Grand Canyon University,AZ,2,485.0,441.0,926.0,22.0,420.0,550.0,380.0,500.0,19.0,24.0,497.0,393.0,169.0,-1.0,-1.0,1364.0,454.0,6870.0,6870.0,3100.0,-1.0,-1.0,370.0,400.0,1125.0,56.0,60.0,14.2,19.0,6219.0,81.0
1081,Arizona State University Main campus,AZ,1,521.0,453.0,974.0,23.0,450.0,590.0,390.0,500.0,20.0,25.0,12809.0,10308.0,3761.0,24.0,49.0,22593.0,7585.0,1828.0,7434.0,4850.0,-1.0,-1.0,66.0,700.0,2100.0,88.0,93.0,18.9,5.0,4602.0,48.0
1082,Northern Arizona University,AZ,1,495.0,444.0,939.0,22.0,420.0,560.0,380.0,500.0,19.0,24.0,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,1828.0,6746.0,3728.0,1890.0,1838.0,66.0,620.0,2342.0,78.0,83.0,21.7,7.0,6157.0,41.0
1083,University of Arizona,AZ,1,526.0,462.0,983.0,23.0,450.0,600.0,400.0,520.0,20.0,26.0,14079.0,12238.0,4529.0,29.0,57.0,21664.0,4894.0,1828.0,7434.0,4216.0,2186.0,2030.0,66.0,620.0,2550.0,91.0,95.0,19.6,19.0,9683.0,49.0
29022,Prescott College,AZ,2,-1.0,-1.0,1000.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,321.0,227.0,129.0,-1.0,-1.0,693.0,40.0,9800.0,9800.0,-1.0,-1.0,-1.0,495.0,400.0,3522.0,55.0,58.0,2.3,19.0,6562.0,-1.0
1117,Azusa Pacific University,CA,2,474.0,428.0,902.0,21.0,410.0,560.0,380.0,490.0,19.0,24.0,1080.0,948.0,504.0,25.0,56.0,2032.0,122.0,15500.0,15500.0,3700.0,1900.0,1800.0,206.0,250.0,750.0,47.0,60.0,12.8,7.0,9627.0,-1.0
1122,Biola University,CA,2,500.0,440.0,940.0,22.0,425.0,590.0,400.0,550.0,18.0,26.0,1118.0,896.0,459.0,-1.0,-1.0,2058.0,111.0,11388.0,11388.0,4546.0,1984.0,2562.0,-1.0,1000.0,-1.0,67.0,67.0,16.6,15.0,9329.0,36.0
1125,California Baptist College,CA,2,441.0,395.0,836.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,308.0,262.0,157.0,-1.0,44.0,592.0,113.0,6370.0,6370.0,3894.0,1800.0,2094.0,370.0,-1.0,-1.0,56.0,63.0,13.0,19.0,8554.0,43.0
1131,California Institute of Technology,CA,2,750.0,660.0,1410.0,-1.0,740.0,780.0,610.0,700.0,-1.0,-1.0,1916.0,507.0,210.0,98.0,100.0,912.0,-1.0,16695.0,16695.0,5051.0,-1.0,-1.0,210.0,735.0,3466.0,100.0,100.0,6.5,36.0,62469.0,83.0
1133,California Lutheran University,CA,2,495.0,436.0,931.0,21.0,430.0,560.0,370.0,490.0,19.0,24.0,563.0,247.0,247.0,23.0,52.0,1427.0,432.0,12950.0,12950.0,5300.0,5300.0,-1.0,215.0,612.0,576.0,72.0,74.0,12.4,17.0,8985.0,60.0
1137,California State Univ. at Fullerton,CA,1,476.0,395.0,871.0,21.0,400.0,540.0,330.0,450.0,17.0,23.0,6004.0,4480.0,1470.0,-1.0,-1.0,12147.0,6681.0,1606.0,8990.0,3476.0,3476.0,-1.0,1606.0,600.0,-1.0,88.0,93.0,19.9,19.0,6288.0,56.0
1138,California State Univ. at Hayward,CA,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2121.0,698.0,1126.0,-1.0,-1.0,6790.0,2988.0,1432.0,8803.0,2550.0,2550.0,-1.0,-1.0,450.0,-1.0,71.0,77.0,20.5,19.0,7237.0,47.0
1139,California State Univ. at Long Beach,CA,1,456.0,382.0,838.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10278.0,7746.0,2576.0,-1.0,-1.0,-1.0,-1.0,1053.0,8233.0,4400.0,4400.0,-1.0,-1.0,-1.0,-1.0,80.0,83.0,20.3,19.0,5382.0,48.0
1140,California State Univ. at Los Angeles,CA,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5609.0,2756.0,1268.0,-1.0,-1.0,9358.0,5222.0,1788.0,7454.0,2900.0,2900.0,-1.0,119.0,577.0,-1.0,53.0,58.0,20.4,19.0,8145.0,49.0
1141,California State Univ. at Dominguez Hills,CA,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1493.0,1194.0,428.0,-1.0,-1.0,4246.0,2457.0,1440.0,8820.0,2116.0,-1.0,2116.0,-1.0,-1.0,-1.0,90.0,90.0,18.1,19.0,8257.0,24.0
1142,California State Univ. at San Bernardino,CA,1,440.0,399.0,839.0,-1.0,370.0,500.0,340.0,460.0,-1.0,-1.0,2329.0,1619.0,1521.0,-1.0,-1.0,6609.0,4398.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.0,100.0,20.3,19.0,6654.0,49.0
1143,California Polytechnic-San Luis,CA,1,547.0,455.0,1002.0,21.0,300.0,700.0,300.0,600.0,17.0,26.0,7811.0,3817.0,1650.0,47.0,73.0,12911.0,1404.0,2033.0,7380.0,4877.0,2335.0,2542.0,20.0,612.0,2091.0,72.0,81.0,19.8,13.0,8453.0,59.0
1144,California Poly-Pomona,CA,1,-1.0,-1.0,-1.0,-1.0,420.0,570.0,320.0,460.0,17.0,24.0,5945.0,3887.0,1566.0,-1.0,60.0,11177.0,4027.0,-1.0,5904.0,4862.0,2499.0,2363.0,1720.0,630.0,2430.0,73.0,76.0,18.5,7.0,7867.0,50.0
1146,California State University at Chico,CA,1,479.0,420.0,899.0,21.0,420.0,540.0,370.0,480.0,18.0,23.0,4816.0,3922.0,1278.0,-1.0,75.0,11822.0,1343.0,-1.0,5904.0,5050.0,2020.0,3030.0,1982.0,612.0,2100.0,71.0,77.0,18.9,5.0,7798.0,63.0
1147,California State University at Fresno,CA,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4540.0,3294.0,1483.0,5.0,60.0,13494.0,1254.0,1802.0,7706.0,4368.0,-1.0,-1.0,-1.0,600.0,1926.0,90.0,90.0,21.2,8.0,7268.0,61.0
1149,Humboldt State University,CA,1,501.0,455.0,956.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3467.0,2190.0,565.0,-1.0,-1.0,5637.0,678.0,1599.0,9979.0,4200.0,4200.0,-1.0,1467.0,600.0,800.0,80.0,82.0,16.4,4.0,8650.0,65.0
1150,California State University at Sacramento,CA,1,476.0,408.0,884.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4348.0,3026.0,1234.0,-1.0,-1.0,13724.0,8161.0,1716.0,9096.0,4500.0,-1.0,-1.0,-1.0,700.0,-1.0,79.0,77.0,19.2,3.0,7530.0,47.0
1151,San Diego State University,CA,1,457.0,394.0,851.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9402.0,7020.0,2151.0,20.0,70.0,16407.0,5550.0,1742.0,8384.0,5110.0,3556.0,-1.0,-1.0,612.0,2400.0,87.0,93.0,19.5,7.0,7930.0,41.0
1153,California State University at Northridge,CA,1,444.0,365.0,809.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7672.0,5331.0,2157.0,-1.0,33.0,15567.0,7544.0,1440.0,5904.0,5500.0,-1.0,-1.0,1520.0,576.0,1464.0,71.0,83.0,20.3,19.0,6691.0,43.0
1154,San Francisco State University,CA,1,444.0,372.0,816.0,19.0,400.0,510.0,290.0,450.0,16.0,22.0,5385.0,3539.0,1259.0,-1.0,-1.0,13165.0,5937.0,1584.0,8964.0,6776.0,-1.0,-1.0,352.0,630.0,2286.0,75.0,77.0,17.4,1.0,7651.0,55.0
1155,San Jose State University,CA,1,467.0,371.0,838.0,19.0,380.0,540.0,300.0,440.0,16.0,21.0,5210.0,4094.0,1420.0,-1.0,-1.0,14392.0,7263.0,1976.0,8820.0,4224.0,1680.0,2544.0,194.0,350.0,2204.0,72.0,74.0,17.4,6.0,5957.0,46.0
1156,Sonoma State University,CA,1,482.0,486.0,968.0,22.0,410.0,540.0,370.0,500.0,19.0,25.0,2726.0,982.0,557.0,47.0,84.0,4239.0,1259.0,-1.0,7830.0,5189.0,3348.0,1841.0,2106.0,610.0,1650.0,79.0,86.0,16.1,1.0,7304.0,40.0
1157,California State University at Stanislaus,CA,1,449.0,400.0,849.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1042.0,830.0,461.0,-1.0,-1.0,2895.0,1678.0,1584.0,8868.0,5300.0,-1.0,-1.0,-1.0,650.0,-1.0,89.0,94.0,15.3,9.0,7333.0,-1.0
1158,United States International University,CA,2,464.0,431.0,895.0,19.0,380.0,570.0,350.0,490.0,-1.0,-1.0,322.0,168.0,51.0,-1.0,-1.0,237.0,67.0,11760.0,11760.0,4225.0,4225.0,-1.0,90.0,630.0,1836.0,90.0,90.0,15.7,19.0,10317.0,23.0
1164,Chapman University,CA,2,501.0,456.0,957.0,22.0,430.0,560.0,400.0,500.0,19.0,24.0,959.0,771.0,351.0,23.0,48.0,1662.0,209.0,16624.0,16624.0,5895.0,5895.0,-1.0,521.0,600.0,1100.0,72.0,80.0,12.8,6.0,12692.0,47.0
1170,Claremont McKenna College,CA,2,670.0,600.0,1270.0,28.0,620.0,720.0,560.0,640.0,26.0,30.0,1860.0,767.0,227.0,71.0,93.0,887.0,1.0,17000.0,17000.0,6010.0,3160.0,2850.0,140.0,500.0,850.0,99.0,99.0,9.6,52.0,18443.0,87.0
1171,Harvey Mudd College,CA,2,740.0,630.0,1370.0,-1.0,710.0,770.0,580.0,690.0,-1.0,-1.0,1377.0,572.0,178.0,95.0,100.0,654.0,5.0,17230.0,17230.0,6690.0,3320.0,3370.0,465.0,700.0,900.0,100.0,100.0,8.2,46.0,21569.0,100.0
1172,Pitzer College,CA,2,590.0,560.0,1150.0,26.0,540.0,630.0,530.0,610.0,24.0,29.0,1133.0,630.0,220.0,37.0,73.0,750.0,30.0,17688.0,17688.0,5900.0,3192.0,2708.0,1548.0,650.0,850.0,100.0,100.0,10.4,11.0,14820.0,73.0
1173,Pomona College,CA,2,700.0,640.0,1340.0,31.0,650.0,730.0,600.0,680.0,-1.0,-1.0,3037.0,1130.0,390.0,80.0,98.0,1500.0,-1.0,17720.0,17720.0,7220.0,-1.0,-1.0,180.0,800.0,1000.0,94.0,98.0,8.9,47.0,20682.0,91.0
1174,Scripps College,CA,2,590.0,560.0,1150.0,26.0,540.0,640.0,500.0,610.0,-1.0,-1.0,855.0,632.0,139.0,60.0,83.0,569.0,7.0,17238.0,17238.0,7350.0,3500.0,3850.0,112.0,600.0,800.0,95.0,100.0,8.2,41.0,18372.0,73.0
1179,College of Notre Dame,CA,2,-1.0,-1.0,-1.0,-1.0,390.0,510.0,380.0,470.0,18.0,23.0,344.0,264.0,97.0,11.0,42.0,500.0,331.0,12600.0,12600.0,5520.0,5520.0,-1.0,-1.0,630.0,2250.0,77.0,80.0,10.4,7.0,9773.0,43.0
1183,Holy Names College,CA,2,450.0,448.0,898.0,-1.0,390.0,500.0,400.0,470.0,-1.0,-1.0,258.0,157.0,43.0,-1.0,-1.0,273.0,317.0,11480.0,11480.0,5280.0,-1.0,-1.0,290.0,630.0,2034.0,75.0,75.0,7.8,41.0,10362.0,44.0
1196,Dominican College of San Rafael,CA,2,452.0,432.0,884.0,-1.0,390.0,520.0,380.0,470.0,-1.0,-1.0,213.0,173.0,75.0,-1.0,-1.0,648.0,150.0,12790.0,12790.0,6100.0,6100.0,-1.0,250.0,650.0,2250.0,56.0,63.0,11.6,29.0,8966.0,50.0
