PassengerId,Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Embarked
71,0,Second,Mr.,M,32,0,0,10.5,Southampton
72,0,Third,Miss.,F,16,5,2,46.9,Southampton
73,0,Second,Mr.,M,21,0,0,73.5,Southampton
74,0,Third,Mr.,M,26,1,0,14.4542,Cherbourg
75,1,Third,Mr.,M,32,0,0,56.4958,Southampton
76,0,Third,Mr.,M,25,0,0,7.65,Southampton
77,0,Third,Mr.,M,28,0,0,7.8958,Southampton
78,0,Third,Mr.,M,28,0,0,8.05,Southampton
79,1,Second,Master.,M,0.83,0,2,29,Southampton
80,1,Third,Miss.,F,30,0,0,12.475,Southampton
81,0,Third,Mr.,M,22,0,0,9,Southampton
82,1,Third,Mr.,M,29,0,0,9.5,Southampton
83,1,Third,Miss.,F,28,0,0,7.7875,Queenstown
84,0,First,Mr.,M,28,0,0,47.1,Southampton
85,1,Second,Miss.,F,17,0,0,10.5,Southampton
86,1,Third,Mrs.,F,33,3,0,15.85,Southampton
87,0,Third,Mr.,M,16,1,3,34.375,Southampton
88,0,Third,Mr.,M,28,0,0,8.05,Southampton
89,1,First,Miss.,F,23,3,2,263,Southampton
90,0,Third,Mr.,M,24,0,0,8.05,Southampton
91,0,Third,Mr.,M,29,0,0,8.05,Southampton
92,0,Third,Mr.,M,20,0,0,7.8542,Southampton
93,0,First,Mr.,M,46,1,0,61.175,Southampton
94,0,Third,Mr.,M,26,1,2,20.575,Southampton
95,0,Third,Mr.,M,59,0,0,7.25,Southampton
96,0,Third,Mr.,M,28,0,0,8.05,Southampton
97,0,First,Mr.,M,71,0,0,34.6542,Cherbourg
98,1,First,Mr.,M,23,0,1,63.3583,Cherbourg
99,1,Second,Mrs.,F,34,0,1,23,Southampton
100,0,Second,Mr.,M,34,1,0,26,Southampton
101,0,Third,Miss.,F,28,0,0,7.8958,Southampton
102,0,Third,Mr.,M,28,0,0,7.8958,Southampton
103,0,First,Mr.,M,21,0,1,77.2875,Southampton
104,0,Third,Mr.,M,33,0,0,8.6542,Southampton
105,0,Third,Mr.,M,37,2,0,7.925,Southampton
106,0,Third,Mr.,M,28,0,0,7.8958,Southampton
107,1,Third,Miss.,F,21,0,0,7.65,Southampton
108,1,Third,Mr.,M,28,0,0,7.775,Southampton
109,0,Third,Mr.,M,38,0,0,7.8958,Southampton
110,1,Third,Miss.,F,28,1,0,24.15,Queenstown
111,0,First,Mr.,M,47,0,0,52,Southampton
112,0,Third,Miss.,F,14.5,1,0,14.4542,Cherbourg
113,0,Third,Mr.,M,22,0,0,8.05,Southampton
114,0,Third,Miss.,F,20,1,0,9.825,Southampton
115,0,Third,Miss.,F,17,0,0,14.4583,Cherbourg
116,0,Third,Mr.,M,21,0,0,7.925,Southampton
117,0,Third,Mr.,M,70.5,0,0,7.75,Queenstown
118,0,Second,Mr.,M,29,1,0,21,Southampton
119,0,First,Mr.,M,24,0,1,247.5208,Cherbourg
120,0,Third,Miss.,F,2,4,2,31.275,Southampton
121,0,Second,Mr.,M,21,2,0,73.5,Southampton
122,0,Third,Mr.,M,28,0,0,8.05,Southampton
123,0,Second,Mr.,M,32.5,1,0,30.0708,Cherbourg
124,1,Second,Miss.,F,32.5,0,0,13,Southampton
125,0,First,Mr.,M,54,0,1,77.2875,Southampton
126,1,Third,Master.,M,12,1,0,11.2417,Cherbourg
127,0,Third,Mr.,M,28,0,0,7.75,Queenstown
128,1,Third,Mr.,M,24,0,0,7.1417,Southampton
129,1,Third,Miss.,F,28,1,1,22.3583,Cherbourg
130,0,Third,Mr.,M,45,0,0,6.975,Southampton
131,0,Third,Mr.,M,33,0,0,7.8958,Cherbourg
132,0,Third,Mr.,M,20,0,0,7.05,Southampton
133,0,Third,Mrs.,F,47,1,0,14.5,Southampton
134,1,Second,Mrs.,F,29,1,0,26,Southampton
135,0,Second,Mr.,M,25,0,0,13,Southampton
136,0,Second,Mr.,M,23,0,0,15.0458,Cherbourg
137,1,First,Miss.,F,19,0,2,26.2833,Southampton
138,0,First,Mr.,M,37,1,0,53.1,Southampton
139,0,Third,Mr.,M,16,0,0,9.2167,Southampton
140,0,First,Mr.,M,24,0,0,79.2,Cherbourg
141,0,Third,Mrs.,F,28,0,2,15.2458,Cherbourg
142,1,Third,Miss.,F,22,0,0,7.75,Southampton
143,1,Third,Mrs.,F,24,1,0,15.85,Southampton
144,0,Third,Mr.,M,19,0,0,6.75,Queenstown
145,0,Second,Mr.,M,18,0,0,11.5,Southampton
146,0,Second,Mr.,M,19,1,1,36.75,Southampton
147,1,Third,Mr.,M,27,0,0,7.7958,Southampton
148,0,Third,Miss.,F,9,2,2,34.375,Southampton
149,0,Second,Mr.,M,36.5,0,2,26,Southampton
150,0,Second,Rev.,M,42,0,0,13,Southampton
151,0,Second,Rev.,M,51,0,0,12.525,Southampton
152,1,First,Mrs.,F,22,1,0,66.6,Southampton
153,0,Third,Mr.,M,55.5,0,0,8.05,Southampton
154,0,Third,Mr.,M,40.5,0,2,14.5,Southampton
155,0,Third,Mr.,M,28,0,0,7.3125,Southampton
156,0,First,Mr.,M,51,0,1,61.3792,Cherbourg
157,1,Third,Miss.,F,16,0,0,7.7333,Queenstown
158,0,Third,Mr.,M,30,0,0,8.05,Southampton
159,0,Third,Mr.,M,28,0,0,8.6625,Southampton
160,0,Third,Master.,M,28,8,2,69.55,Southampton
161,0,Third,Mr.,M,44,0,1,16.1,Southampton
162,1,Second,Mrs.,F,40,0,0,15.75,Southampton
163,0,Third,Mr.,M,26,0,0,7.775,Southampton
164,0,Third,Mr.,M,17,0,0,8.6625,Southampton
165,0,Third,Master.,M,1,4,1,39.6875,Southampton
166,1,Third,Master.,M,9,0,2,20.525,Southampton
167,1,First,Mrs.,F,28,0,1,55,Southampton
168,0,Third,Mrs.,F,45,1,4,27.9,Southampton
169,0,First,Mr.,M,28,0,0,25.925,Southampton
170,0,Third,Mr.,M,28,0,0,56.4958,Southampton
171,0,First,Mr.,M,61,0,0,33.5,Southampton
172,0,Third,Master.,M,4,4,1,29.125,Queenstown
173,1,Third,Miss.,F,1,1,1,11.1333,Southampton
174,0,Third,Mr.,M,21,0,0,7.925,Southampton
175,0,First,Mr.,M,56,0,0,30.6958,Cherbourg
176,0,Third,Mr.,M,18,1,1,7.8542,Southampton
177,0,Third,Master.,M,28,3,1,25.4667,Southampton
178,0,First,Miss.,F,50,0,0,28.7125,Cherbourg
179,0,Second,Mr.,M,30,0,0,13,Southampton
180,0,Third,Mr.,M,36,0,0,0,Southampton
181,0,Third,Miss.,F,28,8,2,69.55,Southampton
182,0,Second,Mr.,M,28,0,0,15.05,Cherbourg
183,0,Third,Master.,M,9,4,2,31.3875,Southampton
184,1,Second,Master.,M,1,2,1,39,Southampton
185,1,Third,Miss.,F,4,0,2,22.025,Southampton
186,0,First,Mr.,M,28,0,0,50,Southampton
187,1,Third,Mrs.,F,28,1,0,15.5,Queenstown
188,1,First,Mr.,M,45,0,0,26.55,Southampton
189,0,Third,Mr.,M,40,1,1,15.5,Queenstown
190,0,Third,Mr.,M,36,0,0,7.8958,Southampton
191,1,Second,Mrs.,F,32,0,0,13,Southampton
192,0,Second,Mr.,M,19,0,0,13,Southampton
193,1,Third,Miss.,F,19,1,0,7.8542,Southampton
194,1,Second,Master.,M,3,1,1,26,Southampton
195,1,First,Mrs.,F,44,0,0,27.7208,Cherbourg
196,1,First,Miss.,F,58,0,0,146.5208,Cherbourg
197,0,Third,Mr.,M,28,0,0,7.75,Queenstown
198,0,Third,Mr.,M,42,0,1,8.4042,Southampton
199,1,Third,Miss.,F,28,0,0,7.75,Queenstown
200,0,Second,Miss.,F,24,0,0,13,Southampton
201,0,Third,Mr.,M,28,0,0,9.5,Southampton
202,0,Third,Mr.,M,28,8,2,69.55,Southampton
203,0,Third,Mr.,M,34,0,0,6.4958,Southampton
204,0,Third,Mr.,M,45.5,0,0,7.225,Cherbourg
205,1,Third,Mr.,M,18,0,0,8.05,Southampton
206,0,Third,Miss.,F,2,0,1,10.4625,Southampton
207,0,Third,Mr.,M,32,1,0,15.85,Southampton
208,1,Third,Mr.,M,26,0,0,18.7875,Cherbourg
209,1,Third,Miss.,F,16,0,0,7.75,Queenstown
210,1,First,Mr.,M,40,0,0,31,Cherbourg
211,0,Third,Mr.,M,24,0,0,7.05,Southampton
212,1,Second,Miss.,F,35,0,0,21,Southampton
213,0,Third,Mr.,M,22,0,0,7.25,Southampton
214,0,Second,Mr.,M,30,0,0,13,Southampton
215,0,Third,Mr.,M,28,1,0,7.75,Queenstown
216,1,First,Miss.,F,31,1,0,113.275,Cherbourg
217,1,Third,Miss.,F,27,0,0,7.925,Southampton
218,0,Second,Mr.,M,42,1,0,27,Southampton
219,1,First,Miss.,F,32,0,0,76.2917,Cherbourg
220,0,Second,Mr.,M,30,0,0,10.5,Southampton
221,1,Third,Mr.,M,16,0,0,8.05,Southampton
222,0,Second,Mr.,M,27,0,0,13,Southampton
223,0,Third,Mr.,M,51,0,0,8.05,Southampton
224,0,Third,Mr.,M,28,0,0,7.8958,Southampton
225,1,First,Mr.,M,38,1,0,90,Southampton
226,0,Third,Mr.,M,22,0,0,9.35,Southampton
227,1,Second,Mr.,M,19,0,0,10.5,Southampton
228,0,Third,Mr.,M,20.5,0,0,7.25,Southampton
229,0,Second,Mr.,M,18,0,0,13,Southampton
230,0,Third,Miss.,F,28,3,1,25.4667,Southampton
231,1,First,Mrs.,F,35,1,0,83.475,Southampton
232,0,Third,Mr.,M,29,0,0,7.775,Southampton
233,0,Second,Mr.,M,59,0,0,13.5,Southampton
234,1,Third,Miss.,F,5,4,2,31.3875,Southampton
235,0,Second,Mr.,M,24,0,0,10.5,Southampton
236,0,Third,Miss.,F,28,0,0,7.55,Southampton
237,0,Second,Mr.,M,44,1,0,26,Southampton
238,1,Second,Miss.,F,8,0,2,26.25,Southampton
239,0,Second,Mr.,M,19,0,0,10.5,Southampton
240,0,Second,Mr.,M,33,0,0,12.275,Southampton
241,0,Third,Miss.,F,28,1,0,14.4542,Cherbourg
242,1,Third,Miss.,F,28,1,0,15.5,Queenstown
243,0,Second,Mr.,M,29,0,0,10.5,Southampton
244,0,Third,Mr.,M,22,0,0,7.125,Southampton
245,0,Third,Mr.,M,30,0,0,7.225,Cherbourg
246,0,First,Dr.,M,44,2,0,90,Queenstown
247,0,Third,Miss.,F,25,0,0,7.775,Southampton
248,1,Second,Mrs.,F,24,0,2,14.5,Southampton
249,1,First,Mr.,M,37,1,1,52.5542,Southampton
250,0,Second,Rev.,M,54,1,0,26,Southampton
251,0,Third,Mr.,M,28,0,0,7.25,Southampton
252,0,Third,Mrs.,F,29,1,1,10.4625,Southampton
253,0,First,Mr.,M,62,0,0,26.55,Southampton
254,0,Third,Mr.,M,30,1,0,16.1,Southampton
255,0,Third,Mrs.,F,41,0,2,20.2125,Southampton
256,1,Third,Mrs.,F,29,0,2,15.2458,Cherbourg
257,1,First,Mrs.,F,28,0,0,79.2,Cherbourg
258,1,First,Miss.,F,30,0,0,86.5,Southampton
259,1,First,Miss.,F,35,0,0,512.3292,Cherbourg
260,1,Second,Mrs.,F,50,0,1,26,Southampton
261,0,Third,Mr.,M,28,0,0,7.75,Queenstown
262,1,Third,Master.,M,3,4,2,31.3875,Southampton
263,0,First,Mr.,M,52,1,1,79.65,Southampton
264,0,First,Mr.,M,40,0,0,0,Southampton
265,0,Third,Miss.,F,28,0,0,7.75,Queenstown
266,0,Second,Mr.,M,36,0,0,10.5,Southampton
267,0,Third,Mr.,M,16,4,1,39.6875,Southampton
268,1,Third,Mr.,M,25,1,0,7.775,Southampton
269,1,First,Mrs.,F,58,0,1,153.4625,Southampton
270,1,First,Miss.,F,35,0,0,135.6333,Southampton
271,0,First,Mr.,M,28,0,0,31,Southampton
272,1,Third,Mr.,M,25,0,0,0,Southampton
273,1,Second,Mrs.,F,41,0,1,19.5,Southampton
274,0,First,Mr.,M,37,0,1,29.7,Cherbourg
275,1,Third,Miss.,F,28,0,0,7.75,Queenstown
276,1,First,Miss.,F,63,1,0,77.9583,Southampton
277,0,Third,Miss.,F,45,0,0,7.75,Southampton
278,0,Second,Mr.,M,28,0,0,0,Southampton
279,0,Third,Master.,M,7,4,1,29.125,Queenstown
280,1,Third,Mrs.,F,35,1,1,20.25,Southampton
281,0,Third,Mr.,M,65,0,0,7.75,Queenstown
282,0,Third,Mr.,M,28,0,0,7.8542,Southampton
283,0,Third,Mr.,M,16,0,0,9.5,Southampton
284,1,Third,Mr.,M,19,0,0,8.05,Southampton
285,0,First,Mr.,M,28,0,0,26,Southampton
286,0,Third,Mr.,M,33,0,0,8.6625,Cherbourg
287,1,Third,Mr.,M,30,0,0,9.5,Southampton
288,0,Third,Mr.,M,22,0,0,7.8958,Southampton
289,1,Second,Mr.,M,42,0,0,13,Southampton
290,1,Third,Miss.,F,22,0,0,7.75,Queenstown
291,1,First,Miss.,F,26,0,0,78.85,Southampton
292,1,First,Mrs.,F,19,1,0,91.0792,Cherbourg
293,0,Second,Mr.,M,36,0,0,12.875,Cherbourg
294,0,Third,Miss.,F,24,0,0,8.85,Southampton
295,0,Third,Mr.,M,24,0,0,7.8958,Southampton
296,0,First,Mr.,M,28,0,0,27.7208,Cherbourg
297,0,Third,Mr.,M,23.5,0,0,7.2292,Cherbourg
298,0,First,Miss.,F,2,1,2,151.55,Southampton
299,1,First,Mr.,M,28,0,0,30.5,Southampton
300,1,First,Mrs.,F,50,0,1,247.5208,Cherbourg
301,1,Third,Miss.,F,28,0,0,7.75,Queenstown
302,1,Third,Mr.,M,28,2,0,23.25,Queenstown
303,0,Third,Mr.,M,19,0,0,0,Southampton
304,1,Second,Miss.,F,28,0,0,12.35,Queenstown
305,0,Third,Mr.,M,28,0,0,8.05,Southampton
306,1,First,Master.,M,0.92,1,2,151.55,Southampton
307,1,First,Miss.,F,28,0,0,110.8833,Cherbourg
308,1,First,Mrs.,F,17,1,0,108.9,Cherbourg
309,0,Second,Mr.,M,30,1,0,24,Cherbourg
310,1,First,Miss.,F,30,0,0,56.9292,Cherbourg
311,1,First,Miss.,F,24,0,0,83.1583,Cherbourg
312,1,First,Miss.,F,18,2,2,262.375,Cherbourg
313,0,Second,Mrs.,F,26,1,1,26,Southampton
314,0,Third,Mr.,M,28,0,0,7.8958,Southampton
315,0,Second,Mr.,M,43,1,1,26.25,Southampton
316,1,Third,Miss.,F,26,0,0,7.8542,Southampton
317,1,Second,Mrs.,F,24,1,0,26,Southampton
318,0,Second,Dr.,M,54,0,0,14,Southampton
319,1,First,Miss.,F,31,0,2,164.8667,Southampton
320,1,First,Mrs.,F,40,1,1,134.5,Cherbourg
321,0,Third,Mr.,M,22,0,0,7.25,Southampton
322,0,Third,Mr.,M,27,0,0,7.8958,Southampton
323,1,Second,Miss.,F,30,0,0,12.35,Queenstown
324,1,Second,Mrs.,F,22,1,1,29,Southampton
325,0,Third,Mr.,M,28,8,2,69.55,Southampton
326,1,First,Miss.,F,36,0,0,135.6333,Cherbourg
327,0,Third,Mr.,M,61,0,0,6.2375,Southampton
328,1,Second,Mrs.,F,36,0,0,13,Southampton
329,1,Third,Mrs.,F,31,1,1,20.525,Southampton
330,1,First,Miss.,F,16,0,1,57.9792,Cherbourg
331,1,Third,Miss.,F,28,2,0,23.25,Queenstown
332,0,First,Mr.,M,45.5,0,0,28.5,Southampton
333,0,First,Mr.,M,38,0,1,153.4625,Southampton
334,0,Third,Mr.,M,16,2,0,18,Southampton
335,1,First,Mrs.,F,28,1,0,133.65,Southampton
336,0,Third,Mr.,M,28,0,0,7.8958,Southampton
337,0,First,Mr.,M,29,1,0,66.6,Southampton
338,1,First,Miss.,F,41,0,0,134.5,Cherbourg
339,1,Third,Mr.,M,45,0,0,8.05,Southampton
340,0,First,Mr.,M,45,0,0,35.5,Southampton
341,1,Second,Master.,M,2,1,1,26,Southampton
342,1,First,Miss.,F,24,3,2,263,Southampton
343,0,Second,Mr.,M,28,0,0,13,Southampton
344,0,Second,Mr.,M,25,0,0,13,Southampton
345,0,Second,Mr.,M,36,0,0,13,Southampton
346,1,Second,Miss.,F,24,0,0,13,Southampton
347,1,Second,Miss.,F,40,0,0,13,Southampton
348,1,Third,Mrs.,F,28,1,0,16.1,Southampton
349,1,Third,Master.,M,3,1,1,15.9,Southampton
350,0,Third,Mr.,M,42,0,0,8.6625,Southampton
351,0,Third,Mr.,M,23,0,0,9.225,Southampton
352,0,First,Mr.,M,28,0,0,35,Southampton
353,0,Third,Mr.,M,15,1,1,7.2292,Cherbourg
354,0,Third,Mr.,M,25,1,0,17.8,Southampton
355,0,Third,Mr.,M,28,0,0,7.225,Cherbourg
356,0,Third,Mr.,M,28,0,0,9.5,Southampton
357,1,First,Miss.,F,22,0,1,55,Southampton
358,0,Second,Miss.,F,38,0,0,13,Southampton
359,1,Third,Miss.,F,28,0,0,7.8792,Queenstown
360,1,Third,Miss.,F,28,0,0,7.8792,Queenstown
361,0,Third,Mr.,M,40,1,4,27.9,Southampton
362,0,Second,Mr.,M,29,1,0,27.7208,Cherbourg
363,0,Third,Mrs.,F,45,0,1,14.4542,Cherbourg
364,0,Third,Mr.,M,35,0,0,7.05,Southampton
365,0,Third,Mr.,M,28,1,0,15.5,Queenstown
366,0,Third,Mr.,M,30,0,0,7.25,Southampton
367,1,First,Mrs.,F,60,1,0,75.25,Cherbourg
368,1,Third,Mrs.,F,28,0,0,7.2292,Cherbourg
369,1,Third,Miss.,F,28,0,0,7.75,Queenstown
370,1,First,Mme.,F,24,0,0,69.3,Cherbourg
371,1,First,Mr.,M,25,1,0,55.4417,Cherbourg
372,0,Third,Mr.,M,18,1,0,6.4958,Southampton
373,0,Third,Mr.,M,19,0,0,8.05,Southampton
374,0,First,Mr.,M,22,0,0,135.6333,Cherbourg
375,0,Third,Miss.,F,3,3,1,21.075,Southampton
376,1,First,Mrs.,F,28,1,0,82.1708,Cherbourg
377,1,Third,Miss.,F,22,0,0,7.25,Southampton
378,0,First,Mr.,M,27,0,2,211.5,Cherbourg
379,0,Third,Mr.,M,20,0,0,4.0125,Cherbourg
380,0,Third,Mr.,M,19,0,0,7.775,Southampton
381,1,First,Miss.,F,42,0,0,227.525,Cherbourg
382,1,Third,Miss.,F,1,0,2,15.7417,Cherbourg
383,0,Third,Mr.,M,32,0,0,7.925,Southampton
384,1,First,Mrs.,F,35,1,0,52,Southampton
385,0,Third,Mr.,M,28,0,0,7.8958,Southampton
386,0,Second,Mr.,M,18,0,0,73.5,Southampton
387,0,Third,Master.,M,1,5,2,46.9,Southampton
388,1,Second,Miss.,F,36,0,0,13,Southampton
389,0,Third,Mr.,M,28,0,0,7.7292,Queenstown
390,1,Second,Miss.,F,17,0,0,12,Cherbourg
391,1,First,Mr.,M,36,1,2,120,Southampton
392,1,Third,Mr.,M,21,0,0,7.7958,Southampton
393,0,Third,Mr.,M,28,2,0,7.925,Southampton
394,1,First,Miss.,F,23,1,0,113.275,Cherbourg
395,1,Third,Mrs.,F,24,0,2,16.7,Southampton
396,0,Third,Mr.,M,22,0,0,7.7958,Southampton
397,0,Third,Miss.,F,31,0,0,7.8542,Southampton
398,0,Second,Mr.,M,46,0,0,26,Southampton
399,0,Second,Dr.,M,23,0,0,10.5,Southampton
400,1,Second,Mrs.,F,28,0,0,12.65,Southampton
401,1,Third,Mr.,M,39,0,0,7.925,Southampton
402,0,Third,Mr.,M,26,0,0,8.05,Southampton
403,0,Third,Miss.,F,21,1,0,9.825,Southampton
404,0,Third,Mr.,M,28,1,0,15.85,Southampton
405,0,Third,Miss.,F,20,0,0,8.6625,Southampton
406,0,Second,Mr.,M,34,1,0,21,Southampton
407,0,Third,Mr.,M,51,0,0,7.75,Southampton
408,1,Second,Master.,M,3,1,1,18.75,Southampton
409,0,Third,Mr.,M,21,0,0,7.775,Southampton
410,0,Third,Miss.,F,28,3,1,25.4667,Southampton
411,0,Third,Mr.,M,28,0,0,7.8958,Southampton
412,0,Third,Mr.,M,28,0,0,6.8583,Queenstown
413,1,First,Miss.,F,33,1,0,90,Queenstown
414,0,Second,Mr.,M,28,0,0,0,Southampton
415,1,Third,Mr.,M,44,0,0,7.925,Southampton
416,0,Third,Mrs.,F,28,0,0,8.05,Southampton
417,1,Second,Mrs.,F,34,1,1,32.5,Southampton
418,1,Second,Miss.,F,18,0,2,13,Southampton
419,0,Second,Mr.,M,30,0,0,13,Southampton
420,0,Third,Miss.,F,10,0,2,24.15,Southampton
421,0,Third,Mr.,M,28,0,0,7.8958,Cherbourg
422,0,Third,Mr.,M,21,0,0,7.7333,Queenstown
423,0,Third,Mr.,M,29,0,0,7.875,Southampton
424,0,Third,Mrs.,F,28,1,1,14.4,Southampton
425,0,Third,Mr.,M,18,1,1,20.2125,Southampton
426,0,Third,Mr.,M,28,0,0,7.25,Southampton
427,1,Second,Mrs.,F,28,1,0,26,Southampton
428,1,Second,Miss.,F,19,0,0,26,Southampton
429,0,Third,Mr.,M,28,0,0,7.75,Queenstown
430,1,Third,Mr.,M,32,0,0,8.05,Southampton
431,1,First,Mr.,M,28,0,0,26.55,Southampton
432,1,Third,Mrs.,F,28,1,0,16.1,Southampton
433,1,Second,Mrs.,F,42,1,0,26,Southampton
434,0,Third,Mr.,M,17,0,0,7.125,Southampton
435,0,First,Mr.,M,50,1,0,55.9,Southampton
436,1,First,Miss.,F,14,1,2,120,Southampton
437,0,Third,Miss.,F,21,2,2,34.375,Southampton
438,1,Second,Mrs.,F,24,2,3,18.75,Southampton
439,0,First,Mr.,M,64,1,4,263,Southampton
440,0,Second,Mr.,M,31,0,0,10.5,Southampton
441,1,Second,Mrs.,F,45,1,1,26.25,Southampton
442,0,Third,Mr.,M,20,0,0,9.5,Southampton
443,0,Third,Mr.,M,25,1,0,7.775,Southampton
444,1,Second,Ms.,F,28,0,0,13,Southampton
445,1,Third,Mr.,M,28,0,0,8.1125,Southampton
446,1,First,Master.,M,4,0,2,81.8583,Southampton
447,1,Second,Miss.,F,13,0,1,19.5,Southampton
448,1,First,Mr.,M,34,0,0,26.55,Southampton
449,1,Third,Miss.,F,5,2,1,19.2583,Cherbourg
450,1,First,Major.,M,52,0,0,30.5,Southampton
451,0,Second,Mr.,M,36,1,2,27.75,Southampton
452,0,Third,Mr.,M,28,1,0,19.9667,Southampton
453,0,First,Mr.,M,30,0,0,27.75,Cherbourg
454,1,First,Mr.,M,49,1,0,89.1042,Cherbourg
455,0,Third,Mr.,M,28,0,0,8.05,Southampton
456,1,Third,Mr.,M,29,0,0,7.8958,Cherbourg
457,0,First,Mr.,M,65,0,0,26.55,Southampton
458,1,First,Mrs.,F,28,1,0,51.8625,Southampton
459,1,Second,Miss.,F,50,0,0,10.5,Southampton
460,0,Third,Mr.,M,28,0,0,7.75,Queenstown
461,1,First,Mr.,M,48,0,0,26.55,Southampton
462,0,Third,Mr.,M,34,0,0,8.05,Southampton
463,0,First,Mr.,M,47,0,0,38.5,Southampton
464,0,Second,Mr.,M,48,0,0,13,Southampton
465,0,Third,Mr.,M,28,0,0,8.05,Southampton
466,0,Third,Mr.,M,38,0,0,7.05,Southampton
467,0,Second,Mr.,M,28,0,0,0,Southampton
468,0,First,Mr.,M,56,0,0,26.55,Southampton
469,0,Third,Mr.,M,28,0,0,7.725,Queenstown
470,1,Third,Miss.,F,0.75,2,1,19.2583,Cherbourg
471,0,Third,Mr.,M,28,0,0,7.25,Southampton
472,0,Third,Mr.,M,38,0,0,8.6625,Southampton
473,1,Second,Mrs.,F,33,1,2,27.75,Southampton
474,1,Second,Mrs.,F,23,0,0,13.7917,Cherbourg
